event_id,timestamp,site_id,site_name,signal_type,operator_verified,already_billed,confidence,notes
EVT-1001,2026-05-18T01:12:00-07:00,SITE-BRAVO,Site Bravo - North Fence,human_detection,true,false,0.94,"Two individuals at north fence, operator confirmed intrusion."
EVT-1002,2026-05-18T02:05:00-07:00,RIVER-A,Riverbend Tower A,vehicle_detection,true,false,0.91,"Truck entered after hours, verified by operator."
EVT-1003,2026-05-18T03:18:00-07:00,COQ-YARD,Coquitlam Yard Gate,perimeter_crossing,true,false,0.89,"Gate crossing confirmed after site close."
EVT-1004,2026-05-18T04:22:00-07:00,LANG-LAY,Langley Industrial Laydown,human_detection,true,false,0.87,"Person detected near equipment row, verified by operator."
EVT-1005,2026-05-18T05:31:00-07:00,SITE-BRAVO,Site Bravo - North Fence,animal_motion,false,false,0.42,"Likely animal motion, operator rejected."
EVT-1006,2026-05-18T06:44:00-07:00,COQ-YARD,Coquitlam Yard Gate,human_detection,true,false,0.92,"Human near storage container, confirmed by operator."
EVT-1007,2026-05-18T07:58:00-07:00,RIVER-A,Riverbend Tower A,license_plate,true,true,0.9,"Previously billed event, should not be included."
EVT-1008,2026-05-18T08:11:00-07:00,LANG-LAY,Langley Industrial Laydown,wind_motion,true,false,0.66,"Operator verified motion, but high wind event nearby."
EVT-1009,2026-05-18T09:20:00-07:00,SITE-BRAVO,Site Bravo - North Fence,human_detection,true,false,0.95,"Verified human detection, no dispute."
EVT-1010,2026-05-18T10:07:00-07:00,COQ-YARD,Coquitlam Yard Gate,camera_tamper,true,false,0.88,"Camera tamper confirmed, equipment issue logged."
EVT-1011,2026-05-18T11:14:00-07:00,RIVER-A,Riverbend Tower A,vehicle_detection,true,false,0.93,"Unauthorized vehicle, verified by operator."
EVT-1012,2026-05-18T12:30:00-07:00,LANG-LAY,Langley Industrial Laydown,human_detection,true,false,0.91,"Verified human detection near trailer."

